ID,Name,dataId,queryStart,queryEnd,readStart,readEnd,sendStart,sendEnd,adrenStart,adrenEnd,queryTime,readTime,sendTime,adrenTime
849c305d-b9e1-4994-b6e7-2ae6b57c9339,NZ BOA COUPON REDEMPTIONS - JH - SVR,363,2017-08-24 16:33:31,2017-08-24 16:33:54,2017-08-24 16:33:54,2017-08-24 16:34:51,2017-08-24 16:34:51,2017-08-24 16:36:11,2017-08-24 16:36:11,2017-08-24 16:37:02,23.0,57.0,80.0,51.0
ad2c8a3d-67c0-4903-ae19-c36dde10394e,NZ WDAY DEPTS - PI,361,2017-08-24 12:00:05,2017-08-24 12:00:05,2017-08-24 12:00:05,2017-08-24 12:00:06,2017-08-24 12:00:06,2017-08-24 12:00:07,2017-08-24 12:00:07,2017-08-24 12:00:13,0.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 00:10:04,2017-08-24 00:10:05,2017-08-24 00:10:05,2017-08-24 00:10:05,2017-08-24 00:10:05,2017-08-24 00:10:06,2017-08-24 00:10:06,2017-08-24 00:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 01:10:04,2017-08-24 01:10:05,2017-08-24 01:10:05,2017-08-24 01:10:05,2017-08-24 01:10:05,2017-08-24 01:10:06,2017-08-24 01:10:06,2017-08-24 01:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 05:10:04,2017-08-24 05:10:04,2017-08-24 05:10:04,2017-08-24 05:10:04,2017-08-24 05:10:04,2017-08-24 05:10:05,2017-08-24 05:10:05,2017-08-24 05:10:11,0.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 06:10:03,2017-08-24 06:10:04,2017-08-24 06:10:04,2017-08-24 06:10:04,2017-08-24 06:10:04,2017-08-24 06:10:05,2017-08-24 06:10:05,2017-08-24 06:10:11,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 07:10:04,2017-08-24 07:10:04,2017-08-24 07:10:04,2017-08-24 07:10:05,2017-08-24 07:10:05,2017-08-24 07:10:06,2017-08-24 07:10:06,2017-08-24 07:10:12,0.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 08:10:03,2017-08-24 08:10:04,2017-08-24 08:10:04,2017-08-24 08:10:04,2017-08-24 08:10:04,2017-08-24 08:10:05,2017-08-24 08:10:05,2017-08-24 08:10:11,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 09:10:04,2017-08-24 09:10:05,2017-08-24 09:10:05,2017-08-24 09:10:05,2017-08-24 09:10:05,2017-08-24 09:10:07,2017-08-24 09:10:07,2017-08-24 09:10:12,1.0,0.0,2.0,5.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 10:10:04,2017-08-24 10:10:04,2017-08-24 10:10:04,2017-08-24 10:10:05,2017-08-24 10:10:05,2017-08-24 10:10:06,2017-08-24 10:10:06,2017-08-24 10:10:12,0.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 11:10:04,2017-08-24 11:10:05,2017-08-24 11:10:05,2017-08-24 11:10:05,2017-08-24 11:10:05,2017-08-24 11:10:06,2017-08-24 11:10:06,2017-08-24 11:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 12:10:04,2017-08-24 12:10:05,2017-08-24 12:10:05,2017-08-24 12:10:05,2017-08-24 12:10:05,2017-08-24 12:10:06,2017-08-24 12:10:06,2017-08-24 12:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 13:10:04,2017-08-24 13:10:05,2017-08-24 13:10:05,2017-08-24 13:10:06,2017-08-24 13:10:06,2017-08-24 13:10:07,2017-08-24 13:10:07,2017-08-24 13:10:13,1.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 14:10:06,2017-08-24 14:10:07,2017-08-24 14:10:07,2017-08-24 14:10:07,2017-08-24 14:10:07,2017-08-24 14:10:09,2017-08-24 14:10:09,2017-08-24 14:10:14,1.0,0.0,2.0,5.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 15:10:05,2017-08-24 15:10:06,2017-08-24 15:10:06,2017-08-24 15:10:06,2017-08-24 15:10:06,2017-08-24 15:10:07,2017-08-24 15:10:07,2017-08-24 15:10:13,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 16:10:04,2017-08-24 16:10:05,2017-08-24 16:10:05,2017-08-24 16:10:05,2017-08-24 16:10:05,2017-08-24 16:10:06,2017-08-24 16:10:06,2017-08-24 16:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 17:10:04,2017-08-24 17:10:05,2017-08-24 17:10:05,2017-08-24 17:10:05,2017-08-24 17:10:05,2017-08-24 17:10:07,2017-08-24 17:10:07,2017-08-24 17:10:12,1.0,0.0,2.0,5.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 18:10:04,2017-08-24 18:10:06,2017-08-24 18:10:06,2017-08-24 18:10:06,2017-08-24 18:10:06,2017-08-24 18:10:07,2017-08-24 18:10:07,2017-08-24 18:10:23,2.0,0.0,1.0,16.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 19:10:04,2017-08-24 19:10:05,2017-08-24 19:10:05,2017-08-24 19:10:05,2017-08-24 19:10:05,2017-08-24 19:10:06,2017-08-24 19:10:06,2017-08-24 19:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 20:10:04,2017-08-24 20:10:05,2017-08-24 20:10:05,2017-08-24 20:10:05,2017-08-24 20:10:05,2017-08-24 20:10:06,2017-08-24 20:10:06,2017-08-24 20:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 21:10:04,2017-08-24 21:10:05,2017-08-24 21:10:05,2017-08-24 21:10:05,2017-08-24 21:10:05,2017-08-24 21:10:06,2017-08-24 21:10:06,2017-08-24 21:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 22:15:24,2017-08-24 22:15:24,2017-08-24 22:15:24,2017-08-24 22:15:25,2017-08-24 22:15:25,2017-08-24 22:15:26,2017-08-24 22:15:26,2017-08-24 22:15:32,0.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-24 23:10:04,2017-08-24 23:10:05,2017-08-24 23:10:05,2017-08-24 23:10:05,2017-08-24 23:10:05,2017-08-24 23:10:06,2017-08-24 23:10:06,2017-08-24 23:10:12,1.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-25 00:10:04,2017-08-25 00:10:04,2017-08-25 00:10:04,2017-08-25 00:10:05,2017-08-25 00:10:05,2017-08-25 00:10:06,2017-08-25 00:10:06,2017-08-25 00:10:12,0.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-25 01:10:04,2017-08-25 01:10:04,2017-08-25 01:10:04,2017-08-25 01:10:05,2017-08-25 01:10:05,2017-08-25 01:10:06,2017-08-25 01:10:06,2017-08-25 01:10:12,0.0,1.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-25 05:10:04,2017-08-25 05:10:04,2017-08-25 05:10:04,2017-08-25 05:10:04,2017-08-25 05:10:04,2017-08-25 05:10:05,2017-08-25 05:10:05,2017-08-25 05:10:11,0.0,0.0,1.0,6.0
06491631-db95-4c1c-8f80-33ce894fc6bc,SYS2 REST PUNCH TIME - PI - SVR,358,2017-08-25 06:10:04,2017-08-25 06:10:04,2017-08-25 06:10:04,2017-08-25 06:10:04,2017-08-25 06:10:04,2017-08-25 06:10:06,2017-08-25 06:10:06,2017-08-25 06:10:11,0.0,0.0,2.0,5.0
